Video Title,Video ID,Published Date,Views,Likes,Comments,Engagement Rate (%)
Kendrick Lamar's Apple Music Super Bowl Halftime Show,KDorKy-13ak,2025-02-10T03:22:55Z,39534820,1834051,109253,4.92
Friendship | Official Trailer HD | A24,cmSPwZIZu6Y,2025-02-11T13:59:00Z,1461031,43339,3752,3.22
"JAZZ at LAKERS | FULL GAME HIGHLIGHTS | February 10, 2025",Y5vgBxUuNlc,2025-02-11T06:12:20Z,2549646,38352,4590,1.68
Rauw Alejandro - Ni me Conozco (Official Video),fViYgfgFbNY,2025-02-11T17:00:06Z,503298,60548,3067,12.64
Kendrick Lamar Disses Drake During Halftime Show Performance | Super Bowl 2025 | E! News,lI4dq7ffQy0,2025-02-10T03:27:44Z,1653685,13565,6016,1.18
Marvel Studiosâ€™ Thunderbolts* | Big Game Trailer | In Theaters May 2,hUUszE29jS0,2025-02-09T23:54:00Z,10242882,208740,14677,2.18
Telling our FAMILY & FRIENDS weâ€™re pregnant!ðŸ¥º,Y-WbqjhRdGE,2025-02-11T00:59:52Z,224730,16405,1867,8.13
The First Kiss in Brawl Stars!?,jdX5xwV829s,2025-02-10T08:58:00Z,8813979,261707,19448,3.19
The Weeknd - Cry For Me (Official Music Video),bn8gP5N8hqM,2025-02-11T17:00:46Z,1664819,108672,6947,6.94
Kendrick Lamar's Super Bowl Performance Explained: Hidden Messages and Cultural Commentary,6ajnW0k0dM0,2025-02-10T22:46:06Z,358200,17807,1841,5.49
T-Pain reacts to Kendrick Lamarâ€™s Super Bowl Halftime Show,T_KZaJ744c4,2025-02-10T19:10:24Z,735219,42154,2636,6.09
Kendrick Lamar Had The Worst Super Bowl Performance EVER!?,qFuODmwJesU,2025-02-10T18:45:18Z,883156,45033,6805,5.87
Real Life vs Hay Day: Which Decorating Challenge Is Easier?,xAj-cpJ6cqQ,2025-02-11T07:45:01Z,845141,12697,1181,1.64
Top 10 Super Bowl Commercials of 2025,axPGpMBZNx8,2025-02-10T15:15:49Z,575285,3609,2246,1.02
"DunKings 2: Super Bowl Commercial ft. Ben & Casey Affleck, Jeremy Strong, Bill Belichick, & Druski",W5VzQ8OV3X0,2025-02-09T23:54:06Z,2474075,2777,0,0.11
Decoding Kendrick Lamar's Super Bowl Show,bhquNK7wiQ8,2025-02-10T23:20:30Z,114539,1840,350,1.91
Lucy Dacus - Best Guess (Official Music Video),a90_cjTF770,2025-02-10T18:30:05Z,276938,30338,1708,11.57
Super Bowl 2025 LIVE: Chiefs vs. Eagles watch party in Kansas City,hQfmvVZEMO8,2025-02-10T03:41:22Z,3974807,8810,2180,0.28
"Britton Moore Wins a Four-Chair Turn With Coldplay's ""Yellow"" | The Voice Blind Auditions | NBC",ZXjRLWMxeho,2025-02-11T03:00:36Z,416492,7375,377,1.86
ROOMMATE vs GIRLFRIEND !! **PRANK**,GIIDiJkC7No,2025-02-10T21:38:22Z,253751,10880,563,4.51
So Win. | Nike,b0Ezn5pZE7o,2025-02-10T00:58:09Z,2911917,11659,469,0.42
"Kendrick Lamar brings out Serena Williams, another dig at Drake, for Super Bowl 2025 halftime show",r8c6Pxke9Rc,2025-02-10T03:16:39Z,843731,4794,1673,0.77
COME BACK (Studio Box Ep),zT4uqa_hsKM,2025-02-06T14:00:50Z,27392,0,120,0.44
JeepÂ® | Big Game | Harrison Ford x Jeep | Ownerâ€™s Manual,cDn_uFEXGXk,2025-02-10T02:39:08Z,15443961,13805,1772,0.1
As it aired: the Trump pregame interview on FOX,O5GU7vvvRgA,2025-02-09T21:32:30Z,2078761,41174,0,1.98
